File Path,Error Message,Error Type,Line Number,Code Context
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/authorisation-income-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p data-pm-slice=""1 1 []"">This daily report provides client&#8217;s with transaction markup data to support their internal reporting and P &amp; L reconciliation. The report includes the following details:</p>
<ul>
<li><strong>CampaignID</strong> &#8211; ID number of client’s campaign.</li>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/blocked-transactions-report.md,Could not parse expression with acorn,mdx-parse-error,8,"---
<p>This report lists detailed information about filtered transactions for a specific set of campaigns, during a specified date range.<br />
The report includes details about vouchers and reasons for transactions being filtered. This reports helps clients to identify if any whitelisted merchants (approved merchants) are blocked.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/card-balance-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>This report provides clients with card details such as, current available balance, last load and lifetime expenditure. It is available for each Campaign.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/card-order-report-2.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p><span style=""font-weight: 400;"">If you choose the option of ordering cards via the </span><span class=""xml-highlight"">OrderCard</span> method, then a report will be available each day with information of the successful orders that were processed and sent to the card manufacturer.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/daily-negative-balance-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>This report provides clients with detailed information on cards that have entered into a negative balance status. It provides essential, actionable information to trace the transactions and correct the negative balance scenarios.</p>
<ul>
<li data-renderer-start-pos=""2632"">Clients will receive this report via email daily with the data from the previous day.</li>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/daily-sales-and-redemption-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>A report which includes all Loads, Redemptions, Authorization, Fees that takes place on a voucher/card.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/daily-statement-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p>The daily statement report can be used by client&#8217;s to assist with their reconciliation and program activity reporting.</p>
<p>The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/detailed-settlement-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10760"">
<p><span style=""font-weight: 400;"">Paymentology also provides a detailed version of the Summary Settlement Report. </span><span style=""font-weight: 400;"">The Detailed Settlement Report shows each settled transaction, which allows you to use the Transaction ID to mark off settled transactions from authorized transactions. This also assists in confirming the values of the amounts in the Summary Settlement Report. The network provides the Transaction ID field during authorization. The same Transaction ID for authorizations is included in the Detailed Settlement Report.</span></p>
<p>There are 3 versions of this report available:<br />"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/ecommerce-report.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<p data-renderer-start-pos=""25"">A report that shows successful and failed Ecommerce transactions along with associated eCommerce fees.</p>
<p data-renderer-start-pos=""25"">The report includes the following details:</p>
<ul>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/failed-transaction-report-2.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10769""><span style=""font-weight: 400;"">This report gives details of the transactions that were declined daily. </span><span style=""font-weight: 400;"">It contains a list of transactions that Paymentology or the client declined, and sent a declined response code to the card association. </span><span style=""font-weight: 400;"">With the failed transaction report file, it becomes easier to find the reasons for failures in transactions and improve the process.</span></div>
<div data-element=""para"" data-attr-xinfo-text=""10769""></div>
<div data-element=""para"" data-attr-xinfo-text=""10769"">The report is also generated monthly and contains the same report details as the daily report.</div>"
/Users/jim/Customer Projects/Paymentology/Migrated/production-sprint-public-d7dfce0ae80328e8af51/docs/card-api/reports/forex-gains-report-2.md,Could not parse expression with acorn,mdx-parse-error,7,"original_path: ""card-api/reports""
---
<div class=""block translation current highlight"" data-element=""para"" data-attr-xinfo-text=""10765"">If you’re marking up a transaction with a forex fee, you’ll receive a report each day showing the FX amount that you earned as revenue for the day.</div>
<div data-element=""para"" data-attr-xinfo-text=""10765""></div>
<div class=""placeholder"">"
