source_url,top_bar,subsection,title,destination_path
https://developer.sprint.paymentology.com/card-api/reports/authorisation-income-report/,Reports,Card API,Authorisation income report,Reports/card-api/authorisation-income-report.md
https://developer.sprint.paymentology.com/card-api/reports/blocked-transactions-report/,Reports,Card API,Blocked transactions report,Reports/card-api/blocked-transactions-report.md
https://developer.sprint.paymentology.com/card-api/reports/card-balance-report/,Reports,Card API,Card balance report,Reports/card-api/card-balance-report.md
https://developer.sprint.paymentology.com/card-api/reports/card-order-report-2/,Reports,Card API,Card order report,Reports/card-api/card-order-report-2.md
https://developer.sprint.paymentology.com/card-api/reports/daily-negative-balance-report/,Reports,Card API,Daily negative balance report,Reports/card-api/daily-negative-balance-report.md
https://developer.sprint.paymentology.com/card-api/reports/daily-sales-and-redemption-report/,Reports,Card API,Daily sales and redemption report,Reports/card-api/daily-sales-and-redemption-report.md
https://developer.sprint.paymentology.com/card-api/reports/daily-statement-report/,Reports,Card API,Daily statement report,Reports/card-api/daily-statement-report.md
https://developer.sprint.paymentology.com/card-api/reports/detailed-settlement-report/,Reports,Card API,Detailed settlement report,Reports/card-api/detailed-settlement-report.md
https://developer.sprint.paymentology.com/card-api/reports/ecommerce-report/,Reports,Card API,eCommerce report,Reports/card-api/ecommerce-report.md
https://developer.sprint.paymentology.com/card-api/reports/failed-transaction-report-2/,Reports,Card API,Failed transaction report,Reports/card-api/failed-transaction-report-2.md
https://developer.sprint.paymentology.com/card-api/reports/forex-gains-report-2/,Reports,Card API,Forex gains report,Reports/card-api/forex-gains-report-2.md
https://developer.sprint.paymentology.com/card-api/reports/google-pay-monthly-report/,Reports,Card API,Google Pay monthly report,Reports/card-api/google-pay-monthly-report.md
https://developer.sprint.paymentology.com/card-api/reports/inactive-cards-report/,Reports,Card API,Inactive cards report,Reports/card-api/inactive-cards-report.md
https://developer.sprint.paymentology.com/card-api/reports/linked-cards-report/,Reports,Card API,Linked cards report,Reports/card-api/linked-cards-report.md
https://developer.sprint.paymentology.com/card-api/reports/mark-off-file/,Reports,Card API,Mark-off file,Reports/card-api/mark-off-file.md
https://developer.sprint.paymentology.com/card-api/reports/qmr-data-report/,Reports,Card API,QMR data report,Reports/card-api/qmr-data-report.md
https://developer.sprint.paymentology.com/card-api/reports/qvr-data-report/,Reports,Card API,QVR data report,Reports/card-api/qvr-data-report.md
https://developer.sprint.paymentology.com/card-api/reports/summary-settlement-report-2/,Reports,Card API,Summary settlement report,Reports/card-api/summary-settlement-report-2.md
https://developer.sprint.paymentology.com/card-api/reports/vau-transaction-report/,Reports,Card API,VAU transaction report,Reports/card-api/vau-transaction-report.md
https://developer.sprint.paymentology.com/card-api/secure-cards/,Guides,Shared,Secure cards,Guides/secure-cards.md
https://developer.sprint.paymentology.com/card-api/secure-cards/offline-pin/,Guides,Shared,Offline PIN,Guides/offline-pin.md
https://developer.sprint.paymentology.com/card-api/tokenization/,Guides,Shared,Tokenization,Guides/tokenization.md
https://developer.sprint.paymentology.com/card-api/tokenization/lifecycle-management/,Guides,Shared,Lifecycle Management,Guides/lifecycle-management.md
https://developer.sprint.paymentology.com/card-api/tokenization/payments/,Guides,Shared,Payments,Guides/payments.md
https://developer.sprint.paymentology.com/card-api/tokenization/processing/,Guides,Shared,Processing,Guides/processing.md
https://developer.sprint.paymentology.com/card-api/tokenization/provisioning/,Guides,Shared,Provisioning,Guides/provisioning.md
https://developer.sprint.paymentology.com/chargeback-api/,API Reference,Chargeback API,Chargeback API,API Reference/chargeback-api/chargeback-api.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/,API Reference,Chargeback API,Chargeback API REFERENCE,API Reference/chargeback-api/chargeback-api-reference.md
https://developer.sprint.paymentology.com/chargeback-api/chargeback-api-reference/document-status/,API Reference,Chargeback API,Document Status,API Reference/chargeback-api/document-status.md
