source_page,original_url,rewritten_url,status
https://developer.sprint.paymentology.com/card-api/api-reference/addcardtag/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/addpocket/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/bearerdetail/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/calculatetav/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/carddetail/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/changepin/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/createvirtualcard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/createvirtualcardwithload/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/deductfunds/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/deductfundsreverse/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/deletetoken-2/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/devalue/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/devaluereverse/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/inserttransactionfee/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/linkcard/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/listalltokens/,https://developer.sprint.paymentology.com/companion-api/api-reference/local-api/,/api-reference/companion-api/local-api,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/listcards/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
https://developer.sprint.paymentology.com/card-api/api-reference/listtokens/,https://developer.sprint.paymentology.com/card-api/api-reference/,/api-reference/card-api/api-reference,rewritten
