wp_id,wp_title,wp_url,wp_slug,wp_status,matched_path,match_kind,match_confidence,migration_status,review_risk,notes
3888,QVR data report,https://developer.sprint.paymentology.com/card-api/reports/qvr-data-report/,qvr-data-report,publish,docs/card-api/reports/qvr-data-report.md,url_path,1.0,matched,,
4049,QVR data report,https://developer.sprint.paymentology.com/companion-api/reports/qvr-data-report/,qvr-data-report,publish,docs/card-api/reports/qvr-data-report.md,url_leaf,0.85,matched,,
3048,Register,https://developer.sprint.paymentology.com/profile-api-reference/register/,register,publish,docs/profile-api-reference/register.md,url_path,1.0,matched,high,
4297,Remote Messaging API,https://developer.sprint.paymentology.com/chargeback-api/remote-messaging-api/,remote-messaging-api,publish,docs/chargeback-api/remote-messaging-api/index.md,url_path,1.0,matched,medium,
4301,Remote Messaging API: chargeback notification,https://developer.sprint.paymentology.com/chargeback-api/remote-messaging-api/remote-messaging-api-chargeback-notification/,remote-messaging-api-chargeback-notification,publish,docs/chargeback-api/remote-messaging-api/remote-messaging-api-chargeback-notification.md,url_path,1.0,matched,high,
2251,Reporting API (Card),https://developer.sprint.paymentology.com/reporting-api/,reporting-api,publish,docs/documentation/reporting-api.md,url_leaf,0.85,matched,,
4149,Reset,https://developer.sprint.paymentology.com/reset/,reset,publish,docs/documentation/reset.md,title,0.75,needs-review,,
4742,ResetPin,https://developer.sprint.paymentology.com/profile-api-reference/resetpin/,resetpin,publish,docs/companion-api/api-reference-companion/local-api/resetpin.md,url_leaf,0.85,matched,,
4617,Response and action code mapping,https://developer.sprint.paymentology.com/response-codes-2/response-and-action-code-mapping/,response-and-action-code-mapping,publish,docs/response-codes-2/response-and-action-code-mapping.md,url_path,1.0,matched,high,
4200,Response codes,https://developer.sprint.paymentology.com/chargeback-api/response-codes/,response-codes,publish,docs/chargeback-api/response-codes.md,url_path,1.0,matched,high,
1116,Response Codes - Local API,https://developer.sprint.paymentology.com/response-codes/,response-codes,publish,docs/chargeback-api/response-codes.md,url_leaf,0.85,matched,high,
1118,Response Codes - Remote API,https://developer.sprint.paymentology.com/response-codes-2/,response-codes-2,publish,docs/response-codes-2/index.md,url_path,1.0,matched,high,
4747,ReverseDeductCardLoadProfile,https://developer.sprint.paymentology.com/profile-api-reference/reversedeductcardloadprofile/,reversedeductcardloadprofile,publish,docs/profile-api-reference/reversedeductcardloadprofile.md,url_path,1.0,matched,high,
3578,ReverseDevalueProfile,https://developer.sprint.paymentology.com/reversedevalueprofile/,reversedevalueprofile,publish,docs/profile-api-reference/reversedevalueprofile.md,url_leaf,0.85,matched,high,
4753,ReverseDevalueProfile,https://developer.sprint.paymentology.com/profile-api-reference/reversedevalueprofile/,reversedevalueprofile,publish,docs/profile-api-reference/reversedevalueprofile.md,url_path,1.0,matched,high,
3046,ReverseTransactionFee,https://developer.sprint.paymentology.com/profile-api-reference/reversetransactionfee/,reversetransactionfee,publish,docs/profile-api-reference/reversetransactionfee.md,url_path,1.0,matched,high,
5153,ReverseVasTransferFunds,https://developer.sprint.paymentology.com/profile-api-reference/reversevastransferfunds/,reversevastransferfunds,publish,docs/profile-api-reference/reversevastransferfunds.md,url_path,1.0,matched,high,
